iter	Logloss
0	0.691036522
1	0.6889710384
2	0.686995848
3	0.685274651
4	0.683745315
5	0.6823078943
6	0.6809528789
7	0.6797775592
8	0.6787036917
9	0.6776884199
10	0.6767453215
11	0.6758887454
12	0.6751756592
13	0.6744913924
14	0.673816634
15	0.673179261
16	0.6725903054
17	0.6721601433
18	0.6717221117
19	0.6712614672
20	0.6708567016
21	0.6705261015
22	0.6701144165
23	0.6697182486
24	0.6693977381
25	0.6690374158
26	0.668805527
27	0.6685846396
28	0.6683389559
29	0.668097941
30	0.6679356039
31	0.6677423349
32	0.6675315281
33	0.6674033744
34	0.6672390641
35	0.6670741158
36	0.6669047618
37	0.6667891036
38	0.6666352819
39	0.6665175868
40	0.6663368701
41	0.6661769363
42	0.6660732416
43	0.6659629583
44	0.6658792964
45	0.6657616122
46	0.6656429272
47	0.6655553356
48	0.665428428
49	0.6653371867
50	0.6652838503
51	0.6652154361
52	0.6651281987
53	0.6649559285
54	0.6648156238
55	0.6647559031
56	0.664630957
57	0.6645547557
58	0.6644790834
59	0.6643972764
60	0.664290809
61	0.6642477423
62	0.6641476501
63	0.6640986365
64	0.6640446729
65	0.6639953693
66	0.6639324563
67	0.6638322567
68	0.6637744228
69	0.6637313259
70	0.6636948918
71	0.663644485
72	0.6634892566
73	0.6633662716
74	0.663299574
75	0.6632721172
76	0.6632265665
77	0.6631523463
78	0.6630668029
79	0.6630097845
80	0.6629878869
81	0.6629512406
82	0.6628999938
83	0.6628302188
84	0.6628173205
85	0.662771115
86	0.6627604215
87	0.662727184
88	0.6626353768
89	0.6626315465
90	0.6624915148
91	0.6624494407
92	0.6623829472
93	0.6623520798
94	0.6623393872
95	0.6622492694
96	0.6621867038
97	0.6621651639
98	0.6621093645
99	0.6620485824
100	0.661903275
101	0.6618436871
102	0.6618250411
103	0.661737966
104	0.6616860762
105	0.6616579902
106	0.6616071415
107	0.6615277843
108	0.6614439664
109	0.6614167127
110	0.661390951
111	0.6613290835
112	0.6612686646
113	0.6612335076
114	0.6611789727
115	0.6611073899
116	0.6610710166
117	0.6610214513
118	0.6609511343
119	0.6609234627
120	0.6608780349
121	0.6608501519
122	0.6607977113
123	0.6607424427
124	0.6606991655
125	0.6606713207
126	0.6605694661
