iter	Passed	Remaining
0	185	185273
1	218	108846
2	254	84527
3	290	72297
4	323	64286
5	357	59245
6	392	55657
7	426	52911
8	466	51329
9	502	49759
10	540	48552
11	573	47251
12	614	46686
13	652	45927
14	689	45296
15	728	44786
16	770	44533
17	806	44017
18	856	44233
19	898	44009
20	933	43530
21	969	43115
22	1013	43062
23	1057	42991
24	1094	42679
25	1137	42613
26	1176	42384
27	1214	42155
28	1253	41960
29	1288	41649
30	1339	41884
31	1379	41729
32	1418	41554
33	1456	41385
34	1494	41196
35	1532	41024
36	1567	40794
37	1608	40728
38	1644	40515
39	1677	40261
40	1715	40124
41	1758	40117
42	1795	39950
43	1835	39872
44	1878	39865
45	1916	39744
46	1953	39619
47	1993	39532
48	2036	39533
49	2077	39475
50	2108	39242
51	2141	39047
52	2173	38833
53	2212	38753
54	2247	38619
55	2282	38481
56	2316	38331
57	2352	38208
58	2385	38040
59	2416	37850
60	2452	37749
61	2482	37554
62	2521	37500
63	2557	37399
64	2592	37289
65	2626	37168
66	2660	37050
67	2692	36908
68	2726	36786
69	2763	36711
70	2793	36556
71	2830	36479
72	2864	36376
73	2898	36265
74	2929	36133
75	2960	35997
76	2993	35886
77	3034	35864
78	3077	35883
79	3122	35906
80	3153	35775
81	3188	35691
82	3220	35586
83	3254	35489
84	3280	35318
85	3312	35205
86	3335	35004
87	3370	34927
88	3402	34831
89	3419	34573
90	3468	34650
91	3506	34609
92	3540	34526
93	3575	34459
94	3608	34371
95	3637	34253
96	3671	34178
97	3701	34066
98	3731	33958
99	3763	33874
100	3794	33771
101	3824	33673
102	3859	33614
103	3901	33613
104	3941	33599
105	3976	33537
106	4014	33507
107	4054	33488
108	4093	33460
109	4128	33400
110	4163	33344
111	4195	33267
112	4228	33193
113	4261	33117
114	4296	33067
115	4327	32976
116	4362	32927
117	4397	32872
118	4432	32812
119	4466	32750
120	4499	32689
121	4535	32642
122	4571	32597
123	4605	32533
124	4638	32471
125	4675	32432
126	4714	32407
